MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
636021509,2022-12-08T00:04:33,27.70167,-95.84833,11.1,156,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021509,2022-12-08T00:05:42,27.69833,-95.84683,11.2,156,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021509,2022-12-08T00:06:53,27.695,-95.84517,11.2,156,158,JOHNNY RANGER,IMO9388209,5LEH2,80,0,182,32,8,80,A
636021434,2022-12-08T00:00:59,37.71003,-122.32039,0,263,173,PACIFIC INTEGRITY,IMO9469780,5LDX4,70,1,148,23,6.2,70,A
636021434,2022-12-08T00:03:59,37.71004,-122.32037,0,51.9,174,PACIFIC INTEGRITY,IMO9469780,5LDX4,70,1,148,23,6.2,70,A
636021410,2022-12-08T00:01:51,27.77255,-96.8757,0.2,150.6,90,STOLT HALCON,IMO9376658,5LDV3,82,1,124,20,5.4,80,A
636021410,2022-12-08T00:04:53,27.77266,-96.87567,0.2,343.8,94,STOLT HALCON,IMO9376658,5LDV3,82,1,124,20,5.4,80,A
636021318,2022-12-08T00:00:05,42.99752,-70.66785,9.3,347.6,346,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021318,2022-12-08T00:01:15,43.00046,-70.66858,9,349.4,346,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021318,2022-12-08T00:02:24,43.00322,-70.66925,8.5,348.4,344,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021318,2022-12-08T00:03:33,43.00583,-70.66993,8.1,349.4,345,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021318,2022-12-08T00:04:34,43.00806,-70.67044,7.9,350.7,343,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021318,2022-12-08T00:05:36,43.01026,-70.67104,7.6,346,334,ARCOLA,IMO9932361,5LDJ5,70,0,199,32,12,70,A
636021278,2022-12-08T00:01:29,29.93111,-93.87484,0,114.5,218,SINTRA,IMO9514389,5LDD8,70,5,190,32,6.7,70,A
636021278,2022-12-08T00:04:29,29.93111,-93.87487,0,114.5,218,SINTRA,IMO9514389,5LDD8,70,5,190,32,6.7,70,A
636021251,2022-12-08T00:02:26,29.09247,-94.57719,0,274.1,135,MSC ADONIS,IMO9706310,5LDA3,70,1,300,48,10.3,71,A
636021251,2022-12-08T00:05:30,29.09246,-94.57721,0,274.1,134,MSC ADONIS,IMO9706310,5LDA3,70,1,300,48,10.3,71,A
636021208,2022-12-08T00:01:55,29.99013,-93.90713,0,326.5,313,STL QIANJIANG,IMO9918418,5LCU7,80,1,230,36,9,80,A
636021208,2022-12-08T00:04:54,29.99011,-93.90712,0,326.5,313,STL QIANJIANG,IMO9918418,5LCU7,80,1,230,36,9,80,A
